start,end,today,note,org,org_other,org_base_reach,org_base_other,state,county,location_label,marketplace,direct,direct_gps,_direct_gps_latitude,_direct_gps_longitude,_direct_gps_altitude,_direct_gps_precision,direct_gps_latitude,direct_gps_longitude,indirect_gps_note,indirect_gps_latitude,indirect_gps_longitude,indirect_gps_check,indirect_gps_precision,indirect_gps_settlement,coordinates,lat,lon,type,size,wholesaler,marketday,marketday_when,marketday_when.dont_know,marketday_when.Monday,marketday_when.Tuesday,marketday_when.Wednesday,marketday_when.Thursday,marketday_when.Friday,marketday_when.Saturday,marketday_when.Sunday,currency,currency.dont_know,currency.SSP,currency.SDG,currency.ETB,currency.UGX,currency.KES,currency.CDF,currency.XAF,transport,transport.dont_know,transport.truck,transport.car,transport.boda,transport.bicycle,transport.tractor,transport.boat,transport.canoe,transport.airplane,transport.donkey,transport.people,transport.other,transport_other,availability_food,availability_food.dont_know,availability_food.none,availability_food.cereals,availability_food.pulses,availability_food.sugar,availability_food.cooking_oil,availability_food.vegetables,availability_food.fruit,availability_food.meat,availability_food.fish,availability_food.milk,availability_food.wild,availability_nfi,availability_nfi.dont_know,availability_nfi.none,availability_nfi.wash,availability_nfi.cooking,availability_nfi.firewood_charcoal,availability_nfi.tools,availability_nfi.seeds,availability_nfi.livestock,availability_nfi.construction,availability_nfi.clothing,availability_nfi.fuel,availability_nfi.medicine,availability_nfi.phone_credit,functionality_wet,score,comments,_id,_uuid,_submission_time,_validation_status,_index,Currently functional,Dot size,supply.dry,supply.dry.1,supply.dry.2,supply.dry.3,supply.wet,supply.wet.1,supply.wet.2,supply.wet.3,size_dry,size_wet
2020-01-10T14:31:04.056+03,2020-01-10T14:34:23.735+03,2020-01-10,,reach,,Yambio,,WesternEquatoria,Nagero,Nagero,Nagero market,no,,,,,,,,,6.39334,27.77101,yes,exact,NzaraNagero,"6.39334, 27.77101",6.39334,27.77101,permanent,16_50,no,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,car boda bicycle,0,0,1,1,1,0,0,0,0,0,0,0,,cereals pulses sugar cooking_oil vegetables fruit meat fish wild,0,0,1,1,1,1,1,1,1,1,0,1,wash cooking tools seeds livestock clothing fuel medicine,0,0,1,1,0,1,1,1,0,1,1,1,0,yes_reduced,very_sure,,80506892,2b6bc492-d103-46a0-b25d-ddfa75639f64,2020-01-10T12:04:55,,255,,1.25,"Bazia, Wau, Tambura",Bazia,Wau,Tambura,"Bazia, Wau, Tambura",Bazia,Wau,Tambura,,
2020-01-10T14:57:18.945+03,2020-01-10T15:01:22.557+03,2020-01-10,,reach,,Yambio,,WesternEquatoria,Nagero,Ngoni,Ngoni market,no,,,,,,,,,6.16371,27.70883,yes,rough_estimate,BandalaNagero,"6.16371, 27.70883",6.16371,27.70883,mobile,1_15,no,yes,Sunday,0,0,0,0,0,0,0,1,SSP,0,1,0,0,0,0,0,0,boda bicycle,0,0,0,1,1,0,0,0,0,0,0,0,,cereals pulses vegetables fruit meat fish wild,0,0,1,1,0,0,1,1,1,1,0,1,wash seeds,0,0,1,0,0,0,1,0,0,0,0,0,0,yes_limited,relatively_sure,,80506910,866fcd90-f20d-4d4c-bb48-6dbed5355065,2020-01-10T12:05:03,,261,,0.75,"Tambura, Nagero ",Tambura,Nagero,,"Tambura, Nagero ",Tambura,Nagero,,,
2020-01-10T14:50:14.001+03,2020-01-10T14:54:43.167+03,2020-01-10,,reach,,Yambio,,WesternEquatoria,Nagero,Zamoi,Zamoi market,no,,,,,,,,,6.63717,27.91753,yes,exact,KporogediNagero,"6.63717, 27.91753",6.63717,27.91753,permanent,1_15,no,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,car boda bicycle,0,0,1,1,1,0,0,0,0,0,0,0,,cereals pulses sugar cooking_oil vegetables fruit meat fish wild,0,0,1,1,1,1,1,1,1,1,0,1,wash cooking tools seeds livestock clothing fuel,0,0,1,1,0,1,1,1,0,1,1,0,0,yes_reduced,relatively_sure,,80506907,50a323a9-0a95-4087-b4f2-9a86fff5d25f,2020-01-10T12:05:02,,260,,0.75,Wau,Wau,,,Wau,Wau,,,,
2020-01-13T10:18:24.250+03,2020-01-13T10:36:51.830+03,2020-01-13,,reach,,Bor PoC,,Jonglei,Nyirol,Chuil,Chuil maket,no,,,,,,,,,8.98833,32.41717,yes,exact,YakuachNyirol,"8.98833, 32.41717",8.98833,32.41717,permanent,51_100,yes,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,boat other,0,0,0,0,0,0,1,0,0,0,0,1,Thieek moving without engine,cereals pulses sugar cooking_oil vegetables meat fish milk wild,0,0,1,1,1,1,1,0,1,1,1,1,wash cooking firewood_charcoal tools seeds livestock construction clothing fuel medicine,0,0,1,1,1,1,1,1,1,1,1,1,0,yes,relatively_sure,,80811334,634f2c90-c41d-4286-8bab-00c59a74ce0f,2020-01-13T14:15:47,,782,,1.5,"Malakal, Ethiopia",Malakal,Ethiopia,,"Malakal, Ethiopia",Malakal,Ethiopia,,,
2020-01-10T17:23:19.115+03,2020-01-10T17:29:32.124+03,2020-01-10,,reach,,Akobo,,Jonglei,Nyirol,Kueiguet,Panyang market,no,,,,,,,,,8.62675,31.95275,yes,exact,DengdurNyirol,"8.62675, 31.95275",8.62675,31.95275,permanent,16_50,no,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,truck car people,0,1,1,0,0,0,0,0,0,0,1,0,,cereals sugar cooking_oil vegetables fish,0,0,1,0,1,1,1,0,0,1,0,0,wash firewood_charcoal construction clothing,0,0,1,0,1,0,0,0,1,1,0,0,0,yes_reduced,very_sure,,80574839,f9122786-229e-491e-a1a7-cdf034a6e7c0,2020-01-11T07:01:16,,632,,1.25,"Lankien, Yakuach ",Lankien,Yakuach,,"Lankien Market, Yakuach ",Lankien,Yakuach,,,
2020-01-10T16:57:54.235+03,2020-01-10T17:11:36.384+03,2020-01-10,,reach,,Akobo,,Jonglei,Nyirol,Lankien,Lankien main market ,no,,,,,,,,,8.62075,32.06165,yes,exact,TholNyirol,"8.5253, 32.06165",8.5253,32.06165,permanent,above_500,yes,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,truck car airplane,0,1,1,0,0,0,0,0,1,0,0,0,,cereals pulses sugar cooking_oil vegetables meat fish milk wild,0,0,1,1,1,1,1,0,1,1,1,1,wash cooking firewood_charcoal livestock construction clothing fuel medicine,0,0,1,1,1,0,0,1,1,1,1,1,0,yes,very_sure,Lankien Market is the main Market in Nyirol County. ,80574777,2721bef2-29c0-4c92-b64f-193820a76540,2020-01-11T07:00:25,,630,,3,"Juba, Yakuach ",Juba,Yakuach,,"Juba, Yakuach ",Juba,Yakuach,,,
2020-01-13T10:08:18.637+03,2020-01-13T10:18:19.980+03,2020-01-13,,reach,,Bor PoC,,Jonglei,Nyirol,Pading,Dukir,no,,,,,,,,,8.43884,31.80229,yes,exact,NyatokNyirol,"8.43884, 31.80229",8.43884,31.80229,permanent,201_500,no,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,truck car tractor people,0,1,1,0,0,1,0,0,0,0,1,0,,cereals pulses sugar cooking_oil vegetables meat fish milk wild,0,0,1,1,1,1,1,0,1,1,1,1,wash cooking firewood_charcoal tools seeds livestock construction clothing medicine,0,0,1,1,1,1,1,1,1,1,0,1,0,yes,very_sure,This is operating throughout the seasons ,80811329,3172268a-414a-49e2-a03f-aae7985f972b,2020-01-13T14:15:46,,781,,2.5,"Bor, Juba ",Bor,Juba,,"Bor, Juba ",Bor,Juba,,,
2020-01-13T09:52:27.979+03,2020-01-13T10:08:15.063+03,2020-01-13,,reach,,Bor PoC,,Jonglei,Nyirol,Pultruk,Wechkuaigok market,no,,,,,,,,,8.5945,31.9485,yes,exact,ZuonyNyirol,"8.5945, 31.9485",8.5945,31.9485,permanent,201_500,yes,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,truck car boda tractor boat people,0,1,1,1,0,1,1,0,0,0,1,0,,cereals pulses sugar cooking_oil vegetables meat fish milk wild,0,0,1,1,1,1,1,0,1,1,1,1,wash cooking firewood_charcoal tools seeds livestock construction clothing fuel medicine,0,0,1,1,1,1,1,1,1,1,1,1,0,yes,very_sure,"The Market got an advantage for current flooding to operate fully during rainy season when the boats loads from Malakal, Juba and Bor so they supplied the local population with sufficient goods and this market serving as port to greater Akobo region ",80811328,29387036-e6ba-464b-b936-d9fc1f663335,2020-01-13T14:15:45,,780,,2.5,"Bor, Juba, Malakal",Bor,Juba,Malakal,"Bor, Juba, Malakal",Bor,Juba,Malakal,,
2020-01-10T17:29:53.697+03,2020-01-10T17:38:45.118+03,2020-01-10,,reach,,Akobo,,Jonglei,Nyirol,Waat,Waat market,no,,,,,,,,,8.17896,32.15183,yes,exact,CholgakNyirol,"8.17896, 32.15183",8.17896,32.15183,permanent,101_200,no,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,truck car airplane people,0,1,1,0,0,0,0,0,1,0,1,0,,cereals sugar cooking_oil vegetables meat fish milk,0,0,1,0,1,1,1,0,1,1,1,0,wash firewood_charcoal livestock clothing fuel medicine phone_credit,0,0,1,0,1,0,0,1,0,1,1,1,1,yes,very_sure,Before the crisis the Waat market is largest market but after fighting in Waat between the government force and opposition the market burning down to ash and all the property were looting but they reopened in 2019,80574900,b5da90c6-2c0d-461b-8c84-202e376045da,2020-01-11T07:01:42,,633,,2,"Juba, Yuai, Pathai ",Juba,Yuai,Pathai,"Juba, Yuai, Pathai ",Juba,Yuai,Pathai,,
2020-01-10T17:39:10.994+03,2020-01-10T17:42:49.852+03,2020-01-10,,reach,,Akobo,,Jonglei,Nyirol,Yakuach,Yakuach market,no,,,,,,,,,8.9288,32.41475,yes,not_precise,ChuilNyirol,"8.9288, 32.41475",8.9288,32.41475,permanent,101_200,yes,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,boat canoe,0,0,0,0,0,0,1,1,0,0,0,0,,sugar cooking_oil vegetables fish milk wild,0,0,0,0,1,1,1,0,0,1,1,1,wash firewood_charcoal livestock construction clothing fuel medicine,0,0,1,0,1,0,0,1,1,1,1,1,0,yes,relatively_sure,They normally bring their goods from Ethiopia by boat ,80574986,0319ef81-eebc-4c72-9090-fc6de8138e9d,2020-01-11T07:02:17,,634,,2,Ethiopia,Ethiopia,,,Ethiopia ,Ethiopia ,,,,
